collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Bottom
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       phi          R_AA   
  5.0000000000 0.0000000000 0.8403483466
  5.0000000000 0.1282282716 0.8395281667
  5.0000000000 0.2564565432 0.8370720491
  5.0000000000 0.3846848147 0.8333658423
  5.0000000000 0.5129130863 0.8282973358
  5.0000000000 0.6411413579 0.8229446636
  5.0000000000 0.7693696295 0.8171138822
  5.0000000000 0.8975979010 0.8116284989
  5.0000000000 1.0258261726 0.8071803634
  5.0000000000 1.1540544442 0.8039807613
  5.0000000000 1.2822827158 0.8015722267
  5.0000000000 1.4105109873 0.8002203622
  5.0000000000 1.5387392589 0.7997751360
  5.0000000000 1.6669675305 0.7999848766
  5.0000000000 1.7951958021 0.8009449737
  5.0000000000 1.9234240736 0.8024441634
  5.0000000000 2.0516523452 0.8052825968
  5.0000000000 2.1798806168 0.8092689484
  5.0000000000 2.3081088884 0.8141877176
  5.0000000000 2.4363371599 0.8198845651
  5.0000000000 2.5645654315 0.8255754994
  5.0000000000 2.6927937031 0.8311771779
  5.0000000000 2.8210219747 0.8354434424
  5.0000000000 2.9492502462 0.8385522913
  5.0000000000 3.0774785178 0.8401003143
  5.0000000000 3.2057067894 0.8401003143
  5.0000000000 3.3339350610 0.8385522913
  5.0000000000 3.4621633325 0.8354434424
  5.0000000000 3.5903916041 0.8311771779
  5.0000000000 3.7186198757 0.8255754994
  5.0000000000 3.8468481473 0.8198845651
  5.0000000000 3.9750764188 0.8141877176
  5.0000000000 4.1033046904 0.8092689484
  5.0000000000 4.2315329620 0.8052825968
  5.0000000000 4.3597612336 0.8024441634
  5.0000000000 4.4879895051 0.8009449737
  5.0000000000 4.6162177767 0.7999848766
  5.0000000000 4.7444460483 0.7997751360
  5.0000000000 4.8726743199 0.8002203622
  5.0000000000 5.0009025914 0.8015722267
  5.0000000000 5.1291308630 0.8039807613
  5.0000000000 5.2573591346 0.8071803634
  5.0000000000 5.3855874062 0.8116284989
  5.0000000000 5.5138156777 0.8171138822
